nPsoRun,n_iter,S,fgbest,optDes
70,1230,300,0.8358072026829589,[0.4701463143387484 -0.999998014312957; -0.7976238170458679 -0.9999942437641104; 0.9996919045751951 -0.16147240035340404; -0.9999949621671624 0.04528755855719729; 0.002437069940088021 -0.15059385291848698; -0.9999996000726978 0.9999989486950288; 0.999999834041361 0.999999119104927; -0.011286367319447295 0.7994095766084257]
71,1218,300,0.833959330461665,[1.0 -0.5989879612933314; 0.07408266751765777 -1.0; 0.13212282503492762 -0.004992155485018973; 0.03913361856956143 0.9925679388747735; -1.0 0.9999997547840179; -0.7999268306471415 0.008460658367757166; -0.9999995166379907 -0.9999999241331995; 0.9999999821179913 0.6544294144954588]
72,3119,300,0.8601643840029576,[-0.9746057593826164 0.04289538189566681; -0.9999999997167405 -0.999999999987409; -0.03430554541460336 -0.66622179054511; 1.0 0.07163993750029163; 0.8915125063742873 0.9999999999967971; -0.9999999999998719 0.999999999999407; 0.9453724256581971 -0.9999999999940343; -0.014023619239341466 0.5475950594264632]
73,1163,300,0.838314468030161,[-0.999999996549439 -0.9999999970306563; 0.9999999999952887 0.9999999996816824; -0.8457164428391161 0.013593470541459514; 0.020913452825553597 0.8368080952549393; 0.0022976785373636393 -0.8419449612492792; 0.8328455809226211 -0.005151029867926488; 0.9999999979567662 -0.9999999996139827; -0.9999999985864749 0.9999999830379128]
74,1767,300,0.8342596594608751,[0.7605232583850494 0.9999999999991686; -0.9999999999995162 0.13586473325750317; 0.9999999999810752 -0.01215975441522053; -0.5231541114066464 0.9999999999998602; -0.9999999999999334 -0.9999999999979108; 0.014466514690787372 -0.7959873287890051; 1.0 -0.9999999999998989; 0.009551328935307222 0.17704745719895368]
75,1189,300,0.8382821374775111,[0.9999999999357371 -0.9999999993566646; -0.009611843338726566 0.8393679111864564; -1.0 -0.9999999729290265; 0.022051584432962592 -0.8391060215683951; 0.8357920078969081 0.01593527679560155; -0.8427827759660017 -0.015751016011948366; 1.0 0.9999999999758863; -1.0 0.9999999996703098]
76,1303,300,0.8368101101589742,[-0.9999999338529566 -0.439114708034542; -0.9999999937337818 0.8233738887124211; 0.9999999480959867 0.9999999914597072; -0.1784109179903221 -1.0; 0.06503605376172943 1.0; 0.801013622377502 0.010183321432758232; -0.14811992368611485 -0.007984917511988602; 0.9999999969437834 -0.9999999980697378]
77,2448,300,0.8338339173119851,[-0.15734738288514896 -0.0051497477509379035; -1.0 -0.5242819276045333; 0.00914308000890563 0.999999477086187; 1.0 0.9999999999997269; -0.11888925137390502 -1.0; 0.9999999998719468 -1.0; -0.9999999999174068 0.7316986651979677; 0.7962220941101802 0.008797101712091186]
78,1673,300,0.8361616198905716,[0.9999989147120513 1.0; 0.0529535423649241 -0.9999875436057882; -0.16095230083396878 1.0; -1.0 0.45798249572796695; -1.0 -0.794997899941981; -0.14845781534012997 -0.001007159579452178; 1.0 -0.9999908881395595; 0.7998818598789035 -0.01149544667358804]
79,1601,300,0.8355712110649486,[0.99997004039142 -0.04170642235319799; -0.4746941226690274 0.999999799886658; -0.9999999781257386 -0.9999856858238858; -0.0008735313932766792 0.15842079756411223; 0.012352086316388022 -0.7991556380639601; 0.9999991744406974 -0.999999842329133; -0.9994762788762155 0.15732210992393653; 0.792147709941806 0.9999811162009975]
80,1386,300,0.8361907920893796,[0.9999826377815828 -0.1662384505104907; -0.017009348491064443 0.8002037207590513; -0.9999992778865328 0.9999999471294155; 0.9999997456230858 0.999997690482598; -0.9994201059193395 0.05133119161867162; -0.006552266329035165 -0.17471775141984722; -0.8070786752616728 -0.9999978194516701; 0.4587494695742033 -0.9999998441747348]
81,2850,300,0.8330900326481264,[-0.999999999995428 -0.6154827678075134; 0.9999999999919484 -0.9999999999996181; -0.04507437636546081 0.9999999977834534; -0.1389685569605615 0.007968908383165161; -0.07232984664003056 -0.9999999969422833; -0.9999999999942384 0.6559470709492646; 0.7938918667273583 0.0034826458326668334; 0.9999999999997732 0.9999999999994996]
82,3985,300,0.834500800964135,[0.999999999765804 0.9999999996471262; -0.9999999998782911 -0.49845703162318217; -0.17351792561587168 0.005359345654124242; 1.0 -0.9999999967118167; -0.999999996331149 0.7587038259520006; -0.13587568999640492 -0.9999999527346215; 0.02571705242251594 0.9999999995237526; 0.7972349785793797 0.013829170839095017]
83,1622,300,0.8334109173695206,[0.9999999999960493 -0.6794291636536824; -1.0 -1.0; -0.7954689061795575 -0.005307058989809928; -0.9999999999979797 0.9999999999995978; 0.9999999999909637 0.5579778592401711; 0.0114453192724791 -0.9999999982627085; 0.13586457940686048 -0.002050269747821403; 0.08853093043601265 0.9999999992789164]
