nPsoRun,n_iter,S,fgbest,optDes
143,164,300,0.5794123459038083,[-0.0016713371981765045; -1.0; 0.7798144814632273; -0.0010840187303274035; 1.0; -0.7800573890901289]
144,377,300,0.5794098398449259,[-0.7799850933408254; -0.999999209709536; 0.7798846790223765; 0.00013652749186954618; -0.001257279800722686; 0.9999999987117805]
145,469,300,0.5794087703517217,[0.7799613697013095; -1.0; 1.0; 0.0003644703216231496; -0.7799094533988921; 0.00021137879662644409]
146,483,300,0.579408760853134,[6.054933068661204e-7; 0.9999999997801226; 0.00035346921853948005; -1.0; 0.7799513623785406; -0.7799194412602762]
147,348,300,0.5794087553341918,[0.9999999961743897; -0.7799125121328168; 0.00029619290228124237; 0.00021282692102990992; 0.7799583778859548; -1.0]
148,608,300,0.5794086894415542,[-1.0; 6.672877685236907e-5; -6.55889530636675e-5; -0.7799353912645146; 0.7799354940143088; 0.9999999999402183]
149,519,300,0.5794087912455661,[-0.7799679178348319; 1.0; 0.7799029390715266; -0.0003832701972599958; -0.9999999935362021; -0.00033738109589001624]
150,403,300,0.5794091161966787,[-1.0; 0.0006286486444191091; 0.9999997819381147; 0.0005738105267302695; -0.7798810668881351; 0.7799894294669638]
151,487,300,0.5794087389104514,[0.999999997222896; -6.462518545790081e-5; -0.00017764204423136132; -0.9999999983187837; 0.7799245928334971; -0.7799463891830574]
152,199,300,0.5795026182936647,[0.010418521383619046; 0.7809126785568139; -1.0; 1.0; 0.00975918507951562; -0.779000368876262]
153,432,300,0.5794088482326791,[0.0003311279576349447; -0.7799416126816843; -0.9999999908740899; -0.00047095147786722626; 0.779929061321823; 0.9999999999810245]
154,211,300,0.5794093322660441,[-0.0008673424440321649; -0.7800014211470226; -0.0005916160723571998; -1.0; 0.7798697127034017; 1.0]
155,688,300,0.579408830531416,[0.7799712033150473; 0.0004707059143140898; 1.0; -0.7798995913816078; -0.9999999975194926; 0.00032359465096029664]
156,623,300,0.5794087098407443,[1.0; -0.7799352346483779; -1.0; 0.00019935057433391045; -0.00019505692295755263; 0.7799356218062775]
157,720,300,0.5794088301084459,[0.9999999950873092; 0.0004640789201357747; 0.00028559617364516996; -0.7799016179699926; 0.7799691852860834; -0.9999999973117679]
158,207,300,0.5794092128654778,[0.7799818576942534; -0.7798890416149272; 0.00037612940282544634; 1.0; -0.9999992985816678; 0.0006511558260509666]
159,574,300,0.5794087006586468,[0.9999999869764029; 0.7799290315894832; -0.00012257746614662828; -0.7799418402361219; -0.9999999885978502; -1.9492279371567556e-5]
160,161,300,0.5794392147412006,[0.9998724631187472; -0.0008373975508783448; -0.7799527429249223; 0.0005563332205827703; 0.7798974746104981; -1.0]
161,487,300,0.5794087152783074,[-0.7799517896397322; -1.0; -0.00020800800864076018; 1.0; 0.7799190829270247; -0.00015476952929168253]
