nPsoRun,n_iter,S,fgbest,optDes
50,2898,300,-41.376797247225426,[0.9999999993255435 0.8672027218762763; -0.0005573561312983325 -0.6226556700709605; 0.6950240927113126 0.9999999999999999; 1.0 -0.8105947734480078; -0.9999999999999919 -0.8043032172477496; -0.8023687104024926 1.0; -1.0 0.7945461433131545; 1.0 -0.15852906975568706; -0.5492044418488142 0.07961367798802652; 0.6956711246199506 -0.9999999999999998; -0.9999741957745134 -1.0]
51,343,300,-38.81656179362658,[-0.9999743454157758 0.7412576063620242; -0.9997430857670974 -0.7271865382608333; -0.9995651888750696 -0.9999926803421896; 0.9998560670746021 -0.7537797377708972; -0.9977960664502 0.999942076408191; -0.05957151249944663 -0.8356220634198495; 0.9875980916509175 0.2967111454576682; 0.5335720083532975 0.9999602583381674; -0.15803817224013125 -0.01148028443983173; 0.9999850949762095 0.9863252205326714; 0.9997124228043862 -0.9999492363399929]
52,5684,300,-39.860207311902144,[0.0016823240802023322 0.7811311927828485; 0.9474654629050107 1.0; -0.9999999999999996 -0.9725219890927129; -1.0 0.7965322335643116; 0.7784663768215638 -0.9999999999999979; 0.9999999999999949 -0.7542801974557307; -0.633343069555696 -1.0; 0.9999999999999978 0.7356275539232049; -0.13754536718340926 -0.007169982523673298; -0.9999999999999984 0.9999999999999908; -0.9990676266902244 -0.16722399693701653]
53,4561,300,-39.46624326988518,[0.8154487825912806 0.0017291791493416712; 0.7285323734450257 -0.9999999999999829; 0.04797127823957452 0.05787027892260319; 0.7843588849786476 1.0; -0.7476017108150788 -0.9999999999999997; 0.9999999999999715 -0.997359869831136; -0.9999999999999989 -0.7712323535610411; -0.9899082431948859 0.9999999999999972; -0.17187333103581492 0.9999572509056298; 0.9999999999999973 0.9999999999628192; -1.0 0.6076374003210642]
54,2852,300,-39.31129826225955,[0.16201406075285332 -0.8959881550947265; -0.9999999999999996 0.990491721904729; 0.9946737360390026 0.9999999999999994; 0.08141114486333367 -0.1958363114754785; 0.9999999999999997 -0.6876679557727048; -0.9999999999999998 -0.7706894846192763; -0.7865313082267993 -1.0; -0.6802609511972434 0.9999999999999993; 0.9999999999999807 0.7705156975492046; -0.8153608022307404 0.12432696612473473; 0.9995282045483587 -0.9999999999999997]
55,3963,300,-41.035510001160375,[-0.9999684382569081 0.9973209672226597; -0.7035981930811727 0.003446042025650442; -0.7661573521504905 -1.0; 0.41216625228560727 0.999999999999999; 0.9999999999999807 -0.8048243142730204; -1.0 -0.8129581094926208; 1.0 0.5917621140715202; 0.9933662180998499 0.9999999999999315; -0.9998603092175247 0.9993104813188765; -0.06779508271796497 0.5396561333428112; 0.7523927519730866 -0.9999999999999997]
56,7891,300,-41.50702427011943,[0.8231677161767943 0.9999999999999987; -0.7836609543692077 -0.9999999999999993; 0.7393447895110241 -0.008490851518130137; 0.9999999999999991 0.9973012886022034; -0.0340429969175495 0.9422789620833978; -0.868514380075018 1.0; 0.06668036634851165 0.1011022150163583; -0.9999999999999998 0.7140225637712067; 0.7707059722775491 -0.9999999999999999; 0.9999999999999997 -0.8346371611943901; -0.9960196065499716 -0.801888456740196]
57,2504,300,-41.08052351522012,[0.9999999999999977 0.9999999999999981; 0.9999999999999999 -0.7996873735180033; -0.9999999999999999 -0.7872045915614022; 0.8410936281633016 -0.9999999999999998; -0.7403629724756773 -1.0; 0.6117435396481755 0.09936291746674511; -0.9999999999984968 0.11978300260671748; 0.7940517389885031 1.0; -0.07851432018914604 -0.6211525251807433; -0.9997518795529818 0.9424547621991172; -0.6461692927423465 0.9999999999999997]
58,944,300,-40.37107200110771,[-0.9999999999102019 -0.9999999992220924; -0.7806470874457757 -0.9999999961744508; -1.0 0.8046538875876013; 0.9990290501788603 -0.9522091343794447; 0.7530383536265871 0.9999999872437217; -0.9993777117108469 0.9999999981670398; -0.011514686550209551 0.6605022959539253; 1.0 -0.3301502305291559; -0.6830791647403339 -0.09467828492824477; 0.9999999909141651 0.7834942005839305; 0.5180335530160995 -0.9999999804575499]
59,3140,300,-38.877297370816784,[0.9999999999999866 -0.7757657852673437; 0.5634672437488529 0.9999999999999996; 0.9999999999999888 0.9989691051730294; -0.9999999999999989 0.7366165100813595; 0.12694504918279495 -0.034329813242874596; -0.9999485963099817 0.9999999999999788; 0.9988161688204387 -0.9999999999999999; 0.9999999475699796 0.27818803370319545; -0.9998545589998897 -0.9999999999999998; -1.0 -0.7046419208825864; -0.1039646756433262 -0.8315686277944612]
60,6471,300,-41.39116210477918,[-0.79677462128113 1.0; 0.9999999999999997 -0.764811262597957; 0.9999999999999998 0.9868999777141193; -0.9999999999999999 -0.7449403609683222; 0.7629184624181302 0.10904848296736266; 0.05956811903790582 -0.8521380260557292; 0.7375744732086705 0.9999999999999992; 0.8116791732008819 -0.9999999999999993; -0.19685425555052483 -0.012647308821062258; -0.8432853617770205 -0.9999999999999994; -0.9999999999999994 0.8042919300141601]
61,3219,300,-39.63046863952663,[0.9999999999999999 0.7568068070818829; 0.10934396804273167 -0.7968667092694323; 0.9999999999999991 -0.7092108457726771; -0.999999999999999 0.9999997788155305; -0.1646530016937967 0.02149017763572725; -0.903955975667854 -1.0; 0.7775625142174016 0.9999999999999999; 0.9999997907940789 -0.9999999999999998; -0.9999999999999989 -0.797714125905662; -0.6164117714395945 0.9999999999999992; -0.9539465154208381 0.2626940145183283]
62,5937,300,-41.40386194049345,[0.999999999999998 -0.8900852633453569; -0.9999999999999998 -0.7843607193873118; -0.8304030597541981 0.9999999999999994; 0.9999999999999997 0.8073530332472116; 0.03880816495310053 0.7425505013442443; 0.681982519187262 -1.0; 0.9241313707941301 -0.19495886664597017; 0.04583352695212494 -0.025172639195036414; -0.9999999999999994 0.7740008138992962; -0.8049516104329781 -0.9999999995340738; 0.999396625675507 1.0]
