nPsoRun,n_iter,S,fgbest,optDes
75,296,300,-75.00000000000001,[-0.9999999999999999; 1.0; -1.0; 8.028691748989406e-9; 5.854361168705629e-9; -1.0; 0.9999999999999999; 2.0954022979268744e-9; 1.0]
76,232,300,-75.00000000000001,[-1.0; 0.9999999999999999; 1.5254364199604196e-9; -1.0; 1.0; 1.0; 9.459323346134613e-9; -1.0; 1.5657721308548332e-8]
77,236,300,-75.00000000000001,[1.7713071484203903e-8; 1.4213059824639777e-9; 1.0; -1.0; 1.0; 3.5384790548290304e-9; -1.0; 1.0; -1.0]
78,293,300,-75.00000000000003,[1.0; -1.4553133458753554e-8; -1.2833299099700024e-8; 1.0; -1.0; 1.5594652882200925e-8; -1.0; -1.0; 0.9999999999999999]
79,255,300,-75.00000000000001,[1.0; -8.606910821942667e-9; -1.0; 1.0; -3.741904182319804e-9; 1.0; -1.0; -1.0; 1.5311437970551825e-9]
80,244,300,-75.00000000000003,[-2.689096149279094e-9; -1.2880368419079608e-8; 1.0; 1.0; 1.2099609772476393e-8; -1.0; -1.0; 1.0; -1.0]
81,212,300,-75.00000000000001,[-9.562779870600213e-10; 1.0; 1.0; -1.0; -1.0; 1.0; -1.0; -2.0313690412458782e-8; 4.9399902020067866e-9]
82,230,300,-75.00000000000001,[1.0; -1.0; 1.0; -1.0; -2.8567076852410116e-10; 3.3027657399105344e-10; -1.0; -4.341777794625104e-9; 1.0]
83,222,300,-75.00000000000001,[1.0; -1.0; -1.0; 2.28839176206032e-8; 1.0; -1.0; -6.790691287304854e-9; 2.072400746129951e-8; 1.0]
84,208,300,-75.00000000000001,[2.6401036031661462e-9; 1.6939457757825486e-8; -1.0; 1.0; -1.0; -3.93984547068922e-9; 1.0; -1.0; 1.0]
85,258,300,-75.00000000000001,[-1.0; -1.0; 1.0; -7.907452472814752e-10; 1.0; 1.6490004253619256e-8; 1.0; -1.0; -2.0424270830110766e-8]
86,263,300,-75.00000000000003,[-1.0; 1.0; -1.517246972044196e-8; -3.7210481287290757e-10; 1.0; 6.954488485635191e-9; -1.0; 1.0; -0.9999999999999999]
87,299,300,-75.00000000000003,[2.0333763465240426e-8; -1.0; 1.0; -1.6366434348947288e-9; -0.9999999999999999; -1.7194465133096634e-8; 1.0; 1.0; -1.0]
88,232,300,-75.00000000000001,[-1.0; 2.1808224245158563e-8; 1.0; 8.037520230614638e-9; -1.0; -1.0; 1.0; 1.0; -2.0120452997606784e-8]
89,278,300,-75.00000000000001,[1.0; 1.3504885520161928e-8; -1.0; 1.0; -2.1838741716934118e-8; 1.0; -1.0; -1.0; 1.88392865752025e-8]
90,229,300,-75.00000000000001,[1.691751661514234e-9; 1.0; -1.453331871492148e-9; -1.0; 1.0; 1.0; -1.0; -4.38126682564566e-9; -1.0]
91,214,300,-75.00000000000001,[1.0; -1.0; -3.732736506298184e-9; -1.0187431740907163e-9; 1.669563882563083e-8; -1.0; 1.0; -1.0; 1.0]
92,268,300,-75.00000000000001,[2.0431615796009943e-8; 1.0; -1.0; 3.352965603859271e-9; 1.0; 1.1324658642911049e-8; -1.0; 1.0; -1.0]
93,307,300,-75.00000000000001,[1.0; 2.125176733407718e-8; -1.0; -0.9999999999999999; -2.0022838286943612e-8; -1.2348223976555024e-8; -1.0; 1.0; 1.0]
94,204,300,-75.00000000000001,[-1.0; 1.0; 1.0; 2.3666729433331163e-8; -1.0; 1.0; -1.0047748454535698e-8; -1.0; -5.34121873064596e-9]
95,229,300,-75.00000000000003,[1.0; 1.0; -5.984257175888764e-10; -1.0; 1.238418895534268e-8; -1.1266511884375178e-8; -1.0; 1.0; -1.0]
96,362,300,-75.00000000000001,[-1.0; -1.0; 6.746693053956011e-9; 1.0; 1.0; 7.468118522876988e-9; -2.0270922131539967e-8; -1.0; 1.0]
97,235,300,-75.00000000000001,[1.0; -1.0; -1.3765680427759536e-8; -1.0; 3.889578982788575e-9; -2.0088573542570474e-9; 1.0; 1.0; -1.0]
98,222,300,-75.00000000000001,[1.0; 1.0; 1.396194424448753e-8; -1.8007906368171925e-8; -1.0; -1.0; 2.0007919691512954e-8; 1.0; -1.0]
99,220,300,-75.00000000000001,[-1.0; 1.0; 3.6354595107748497e-9; 9.367463721392662e-9; 1.0; -1.0; -1.0; 1.0; 1.6592495233381568e-8]
100,67,300,-74.99993890148896,[-1.0; 1.023406403821963e-5; 0.00017256727170355613; -1.0; -0.0008632030528826261; 1.0; 1.0; 1.0; -1.0]
101,317,300,-75.00000000000003,[1.0; 1.0; -1.3497132051307318e-9; -1.0; -2.2103432911279925e-8; 9.48814380691768e-9; -1.0; -1.0; 1.0]
102,275,300,-75.00000000000003,[3.3156238166931447e-10; -1.7034142334459927e-8; 1.0; 1.0; -1.0; -1.0; 1.0812108705399049e-8; 1.0; -1.0]
103,286,300,-75.00000000000001,[-1.0; -1.0; -1.8946807266011176e-8; 1.0; -1.0; 1.0; 0.9999999999999999; -1.146912105103306e-9; 1.7805574037871912e-8]
104,300,300,-75.00000000000003,[5.565099033418723e-9; 1.0; -1.9405168123089357e-8; -1.0; 9.094820658351028e-9; -1.0; 0.9999999999999999; -1.0; 1.0]
105,243,300,-75.00000000000001,[0.9999999999999999; -1.0; -1.6662263706294755e-8; -1.851692500279577e-8; 1.0; 1.56169158947396e-9; -1.0; 1.0; -1.0]
106,195,300,-75.00000000000001,[-1.0; 1.0; 1.0; -1.0; 1.0; -1.0; 1.6931478026400543e-9; -2.012113649698757e-8; 1.7245328327987967e-8]
107,250,300,-75.00000000000003,[-1.431720232276592e-8; -1.0; 1.806979125558752e-8; -1.0; 1.0; 1.0; -1.0; 1.0; 9.49792731969242e-9]
108,251,300,-75.00000000000003,[-1.0; -1.4727444077594575e-8; -1.0; 0.9999999999999999; 8.676378023267668e-9; -1.344702139269199e-8; -1.0; 1.0; 1.0]
109,276,300,-75.00000000000001,[7.365185269836108e-10; 1.0; -6.136002921052086e-9; -1.0; -2.0496165391014268e-9; 1.0; -1.0; -1.0; 1.0]
110,319,300,-75.00000000000003,[-1.0; 1.0; 1.0666436296822888e-9; 1.0; 1.0; -1.46420120205538e-8; 1.9969232664082876e-8; -1.0; -1.0]
111,218,300,-75.00000000000001,[1.0; 1.0; -1.0; 1.2989712213467718e-8; 1.0; 7.580657599309589e-9; -1.0; 4.8863432124607034e-9; -1.0]
112,235,300,-75.00000000000001,[1.0; -1.0; 1.0; 1.0; -1.0; -1.0; -1.1514866898990831e-8; 1.7106267979892722e-8; -2.674368346130332e-9]
113,234,300,-75.00000000000001,[-8.253690597024624e-9; 2.1372894637658597e-8; -1.0; 1.0; -1.3255657046319808e-8; -1.0; 1.0; 1.0; -0.9999999999999999]
114,233,300,-75.00000000000001,[-1.0; -1.0; 8.89070227449203e-9; 1.0; -1.0; 1.0; -2.086144587962454e-8; 1.0; 1.6396230054277435e-8]
115,249,300,-75.00000000000001,[-1.0; -1.0; 1.0; -1.0; 7.459029553809696e-9; 2.193300274297993e-9; 1.0; 1.0; -1.7212399147710006e-8]
116,276,300,-75.00000000000001,[1.0; -1.0; 1.0; -1.0; -9.015780214523788e-9; -6.326796094419321e-9; -1.0; -7.721693170540237e-9; 1.0]
