nPsoRun,n_iter,S,fgbest,optDes
207,376,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436826; -0.6963202947436826]
208,370,300,-19.512631368174784,[-0.6963202947436826; 1.0; -1.0; 0.6963202947436825]
209,334,300,-19.512631368174784,[0.6963202947436826; -1.0; 1.0; -0.6963202947436825]
210,147,300,-19.51241994326424,[0.6963157727931302; -1.0; -0.6963158822888108; 1.0]
211,346,300,-19.512631368174784,[-1.0; -0.6963202947436817; 1.0; 0.6963202947436817]
212,413,300,-19.512631368174794,[-0.6963202947436828; 0.9999999999999998; 0.6963202947436827; -1.0]
213,50,300,-19.46129314751749,[-0.6953776479027487; -1.0; 0.6955082615990918; 1.0]
214,462,300,-19.512631368174784,[-0.6963202947436825; -1.0; 0.6963202947436826; 1.0]
215,67,300,-19.510909991304118,[-0.6962973256283956; 0.6963067289502898; 0.9999993841974226; -1.0]
216,369,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; -1.0; 1.0]
217,248,300,-19.512631368115137,[1.0; -0.6963202947431133; -1.0; 0.6963202947436133]
218,386,300,-19.512631368174784,[-0.6963202947436826; -1.0; 1.0; 0.6963202947436826]
219,366,300,-19.512631368174784,[0.6963202947436825; -1.0; 1.0; -0.6963202947436825]
220,377,300,-19.512631368174784,[-1.0; 0.6963202947436826; -0.6963202947436825; 1.0]
221,367,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436817; 0.6963202947436817]
222,370,300,-19.512631368174784,[-0.6963202947436825; 1.0; -1.0; 0.6963202947436825]
223,374,300,-19.512631368174784,[1.0; 0.6963202947436826; -1.0; -0.6963202947436826]
224,412,300,-19.512631368174794,[-0.6963202947436827; -0.9999999999999998; 1.0; 0.6963202947436828]
225,96,300,-19.50946608779664,[0.9999395256394558; -1.0; -0.6963250523032847; 0.6962955317655778]
226,399,300,-19.512631368174784,[-0.6963202947436825; 1.0; 0.6963202947436826; -1.0]
227,339,300,-19.512631368174784,[-1.0; 1.0; 0.6963202947436826; -0.6963202947436825]
228,358,300,-19.512631368174784,[-1.0; 0.6963202947436825; 1.0; -0.6963202947436826]
229,372,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
230,110,300,-19.512285695046977,[-1.0; 1.0; 0.6963215179596377; -0.6963230561414356]
231,361,300,-19.512631368174784,[1.0; -1.0; 0.6963202947436825; -0.6963202947436826]
232,401,300,-19.512631368174784,[1.0; -0.6963202947436825; -1.0; 0.6963202947436826]
