nPsoRun,n_iter,S,fgbest,optDes
194,228,300,1.5884886915162648,[1.0; -1.0; -0.5555196485255848; 0.5555196705159536]
195,139,300,1.5884771606285901,[0.554809977527683; -1.0; 1.0; -0.5548099775378279]
196,137,300,1.5884829588265506,[-0.5552894633735185; 1.0; -1.0; 0.555289625759875]
197,172,300,1.5884863251050836,[-1.0; 1.0; 0.554267302033592; -0.5542683169583427]
198,591,300,1.5884771730537737,[0.9999999999875889; -1.0; -0.5547709375787726; 0.5547709375681843]
199,236,300,1.5884781956745062,[0.5548578428454882; 1.0; -0.9999995151096911; -0.5548577306943363]
200,158,300,1.5884773741823848,[1.0; -0.5548852913520088; -1.0; 0.5548852750330864]
201,218,300,1.5884777382498645,[-0.5546366696997396; -1.0; 0.5546366659800771; 1.0]
202,230,300,1.588483735892774,[-0.5553445215709907; -0.9999999999885495; 1.0; 0.5553445216745033]
203,63,300,1.5886504697990116,[-1.0; 0.5560707017029097; -0.5561168254431557; 1.0]
204,133,300,1.5884774362601632,[0.5548190708858552; -0.5548191618919982; -1.0; 1.0]
205,241,300,1.588477204347544,[1.0; -1.0; 0.5548341348395698; -0.5548341408863184]
206,149,300,1.5884771811910348,[0.554774106073665; -0.5547741021226917; -1.0; 1.0]
207,169,300,1.588478253430023,[-0.5550209484535548; 1.0; -1.0; 0.5550209484721652]
208,239,300,1.5884771710048087,[1.0; 0.5547988782722122; -1.0; -0.5547988829063157]
209,168,300,1.5884773746804939,[-0.5548626013013359; -1.0; 0.5548625590524746; 1.0]
210,138,300,1.5884774425151542,[0.5546856444160166; -1.0; 1.0; -0.5546856475428378]
211,255,300,1.5884775704459184,[-0.5547341481414111; 0.5547340384022803; -1.0; 1.0]
212,136,300,1.5884991942384605,[1.0; -1.0; 0.5552683025146408; -0.5552624731112844]
213,140,300,1.5884991788002707,[-1.0; -0.5557785130837696; 1.0; 0.5557787976500851]
214,338,300,1.5884771880890098,[-1.0; 1.0; 0.5547602612980049; -0.5547602612980087]
215,217,300,1.5884772861913303,[0.5548437338084939; -0.5548437059420568; -1.0; 1.0]
216,117,300,1.5884780382819388,[1.0; -1.0; -0.554787174154213; 0.5547874715311697]
217,38,300,1.5889748161561246,[1.0; -0.5502288782491065; 0.5502154276692983; -1.0]
218,129,300,1.5884772394862066,[-0.9999999847980217; 1.0; -0.5548432882753506; 0.5548432896134262]
219,113,300,1.5884904488458238,[1.0; -0.555394846791783; 0.5553966817260676; -1.0]
220,32,300,1.5920618011927514,[0.5444149945517394; -0.5448684262791093; -1.0; 1.0]
221,91,300,1.5885013597923519,[1.0; 0.5537607940529499; -1.0; -0.5537609961490506]
222,116,300,1.5884798654932824,[1.0; -0.554605911313947; 0.5546052692408101; -1.0]
223,218,300,1.588492733547473,[-0.9999993394424339; 1.0; -0.5539803013598535; 0.5539805872794752]
224,125,300,1.5884790394249655,[-0.9999999473434359; -0.5545155218538187; 1.0; 0.5545155666848683]
225,215,300,1.5884772151028,[0.9999999947232219; -1.0; -0.5548456916429217; 0.55484568921516]
226,111,300,1.588590816547274,[1.0; -1.0; 0.5537600399543305; -0.553729806277724]
227,294,300,1.5884775783706107,[0.5549317139609886; -1.0; 1.0; -0.5549317051044086]
228,197,300,1.5884804421729288,[-1.0; 1.0; 0.5545881574616944; -0.5545873735092746]
229,93,300,1.5885571320558294,[0.5541535231610901; -0.5541296550924961; -1.0; 1.0]
230,68,300,1.5885996559266284,[0.5528527845482916; -1.0; -0.5528663579233135; 1.0]
231,85,300,1.5884879048408376,[-0.5551717057396696; 0.5551742945372315; -1.0; 1.0]
232,143,300,1.5884825132629994,[-1.0; -0.5552595412013339; 0.9999996551860947; 0.5552593157487604]
233,395,300,1.588477416345976,[-0.9999999970405665; -0.5546899643023977; 1.0; 0.5546899656340954]
234,109,300,1.5884782354183675,[1.0; -0.5550172067860919; -1.0; 0.5550172130304775]
235,187,300,1.5884776888798262,[-0.5549032574234273; 0.9999999953422788; 0.5549031603572945; -1.0]
236,158,300,1.5884777517547404,[0.9999999939393625; 0.5546660432986091; -0.554666115620673; -1.0]
237,138,300,1.5884787917474328,[-1.0; -0.5550597738680876; 0.5550597318479304; 1.0]
238,293,300,1.5884772937399718,[1.0; 0.5548764697834059; -0.5548764697783249; -1.0]
239,248,300,1.5884783298610274,[-0.5545776151468987; 0.5545776517505272; 1.0; -1.0]
240,416,300,1.5884771579167962,[0.5547947507672073; -0.9999999996660008; 1.0; -0.5547947506168411]
241,140,300,1.5884923391721275,[-1.0; -0.5540638238071784; 0.5540649643441538; 1.0]
242,118,300,1.5885050811734005,[-1.0; 0.5557485068122564; 1.0; -0.5557512035952064]
243,328,300,1.5884771602950363,[-0.5547859882771361; -1.0; 1.0; 0.5547859882771358]
244,180,300,1.5884811039087539,[1.0; -0.5551764246430533; 0.5551766918276144; -1.0]
245,141,300,1.5884771732406486,[-1.0; 0.5548036589950541; 1.0; -0.5548036538582037]
246,142,300,1.5885301343589573,[-0.5543495230496771; -1.0; 0.5543660144695624; 1.0]
247,271,300,1.5884776773264244,[1.0; 0.5549436600793182; -1.0; -0.5549436775053193]
248,63,300,1.5885066835962258,[1.0; -1.0; 0.553715851289184; -0.5537171570699754]
249,169,300,1.588477981082033,[1.0; -0.5546041075772052; 0.5546041075927537; -1.0]
250,384,300,1.5884775671725633,[1.0; -0.5549341762462395; 0.5549341761455104; -1.0]
251,107,300,1.5884925223916586,[1.0; -1.0; 0.5546580280816804; -0.5546630885894704]
252,280,300,1.5884773216384005,[-0.5547126650098134; 0.9999999960514633; -1.0; 0.554712663286825]
253,174,300,1.5884772965797844,[-0.5547775388782554; 0.5547775830077281; -1.0; 1.0]
254,353,300,1.588482260647973,[0.9999998741299752; 0.5551911944014402; -0.5551907320975937; -1.0]
255,72,300,1.588506205346611,[1.0; -1.0; 0.5557519225678988; -0.5557549488495765]
256,580,300,1.5884796919437685,[-0.5551370479970762; 0.5551370473896347; 1.0; -1.0]
257,296,300,1.588479669545571,[-0.5551346875843073; 1.0; 0.5551346924833187; -1.0]
258,61,300,1.5885501549416365,[-0.5534986274590441; 1.0; 0.5535109150499072; -1.0]
259,85,300,1.5885689740583966,[-1.0; 1.0; 0.556519061451203; -0.5565099655833684]
260,38,300,1.589227320956402,[1.0; -0.5504086638640537; 0.5505236320199316; -1.0]
261,97,300,1.5884912598121081,[0.5544183117331097; 1.0; -0.554414619483819; -0.9999928222552171]
262,174,300,1.5884774603618017,[-1.0; 0.5547938327470806; 1.0; -0.5547939352173672]
263,212,300,1.5884778183963602,[-0.554636678515754; 1.0; 0.5546367094245458; -1.0]
264,71,300,1.5884798453077622,[1.0; 0.5549614637571817; -1.0; -0.5549621730321024]
265,213,300,1.5884779714320165,[-1.0; 0.5549901080338614; 1.0; -0.5549901080339268]
266,333,300,1.5884774549130163,[1.0; -1.0; -0.5548796836825215; 0.5548796329428555]
267,160,300,1.588489027158567,[-1.0; 1.0; -0.5542273387896255; 0.5542289440673364]
268,52,300,1.5888892226696227,[0.555882967583544; 1.0; -1.0; -0.5560125140129701]
269,96,300,1.5885464027057203,[-0.5561524680339214; 0.5561621247795019; -1.0; 1.0]
270,110,300,1.5884836101168258,[-0.5542815802791453; 1.0; -1.0; 0.5542817841126938]
271,381,300,1.588477339122731,[0.5548409077219761; 1.0; -0.554840954034452; -0.9999999985329535]
272,140,300,1.588484298641074,[0.5544167171409249; -0.5544172628846125; -0.9999991173823182; 0.9999981337781236]
273,149,300,1.5884800104723462,[-0.5549933788366319; 1.0; -1.0; 0.5549940584930696]
274,200,300,1.58847734429801,[-0.5547055045439332; 1.0; 0.5547055046039889; -1.0]
275,89,300,1.5884982037480861,[0.5557747382357092; -1.0; 1.0; -0.5557747499266293]
276,242,300,1.5884773557137222,[-0.5547026908470595; 1.0; 0.5547026908520845; -1.0]
277,307,300,1.5884773875610063,[-1.0; 1.0; -0.5548999916993461; 0.5548999916379587]
278,34,300,1.5889691039756126,[1.0; -1.0; -0.5549243683369544; 0.5547579409054584]
279,146,300,1.5884775545986647,[1.0; -1.0; 0.5547093498814875; -0.5547094263347085]
280,312,300,1.5884771574704886,[-1.0; -0.5548006239693455; 1.0; 0.5548006239693452]
281,219,300,1.5884771589250675,[1.0; -0.5547890500315598; -1.0; 0.5547890500315605]
282,111,300,1.5884841018107536,[1.0; -1.0; -0.5553442853885827; 0.5553444107396079]
283,128,300,1.5884802194915564,[1.0; 0.5550193887069703; -1.0; -0.5550200581796257]
284,110,300,1.5884849301844142,[-1.0; -0.5548504394160139; 0.5548530484024032; 1.0]
285,195,300,1.5884943374551117,[-0.5539149270586993; 1.0; 0.5539149053472189; -1.0]
286,308,300,1.5884772044718645,[0.5548440231722161; -1.0; -0.5548440231722175; 1.0]
287,192,300,1.5884861192498478,[0.5541739280981659; -0.9999999999913642; 1.0; -0.554173788677591]
288,303,300,1.5884772493268389,[1.0; 0.5547333048894024; -0.5547333045860463; -1.0]
289,113,300,1.588485481900846,[-1.0; 1.0; 0.5548998330967119; -0.5549025707956924]
290,138,300,1.588484572365513,[0.5542293861895924; -0.5542292786998638; 1.0; -1.0]
291,220,300,1.5884773509895065,[-0.5548750640034958; 0.554875048089038; -0.9999999943275605; 1.0]
292,136,300,1.5884776782743912,[-1.0; 0.5549176449662374; -0.5549175756514928; 1.0]
293,76,300,1.5884893392141883,[-0.5551337817288592; 0.5551370554849399; 1.0; -1.0]
294,112,300,1.588511801464303,[-1.0; -0.5537140337467238; 1.0; 0.553711059245925]
295,70,300,1.5886404770230436,[-1.0; 1.0; 0.5531098368028015; -0.5531443904147371]
