nPsoRun,n_iter,S,fgbest,optDes
109,158,300,0.400000000000053,[-0.9999999999999781; -1.857833777530435e-7; 2.230228463660324e-7; 1.0; 3.579030874144073e-7; -1.0; 1.0]
110,226,300,0.40000000000001107,[1.0; 1.0; -1.0; -9.732307622889865e-8; 2.2903404736765655e-10; -1.0; 2.0264753206272488e-7]
111,167,300,0.40000000000000124,[-1.6866562452440413e-8; 6.634298747113752e-8; 7.396978642692532e-9; -1.0; 1.0; -1.0; 1.0]
112,183,300,0.40000000000000063,[-1.0; -3.237088336911842e-8; -1.9528084442880442e-8; -1.0; -3.5558573494199885e-8; 1.0; 1.0]
113,163,300,0.40000000000000097,[1.0; 4.3191073699682255e-8; -1.0; -1.0; 4.7633688745570306e-8; -1.663148592645843e-8; 1.0]
114,212,300,0.40000000000000047,[-4.268889798224266e-9; -1.0; -1.0; 1.0; 3.814645844872911e-8; 1.0; -7.997411320139222e-9]
115,197,300,0.4000000000000005,[1.0; -4.473545292490363e-8; 7.697743676127586e-10; -1.0; 1.0; -9.692392779840554e-9; -1.0]
116,175,300,0.4000000000000027,[1.0; 7.388040142318025e-8; 3.918430116503673e-8; 1.0; -1.0; -0.9999999999999941; 5.5618265254341466e-8]
117,224,300,0.400000000000002,[1.0; 8.043183580078513e-8; -2.8631676524340715e-8; 2.0511903563996303e-8; -1.0; -1.0; 1.0]
118,186,300,0.40000000000000013,[1.0; -1.541738415644127e-8; -1.0; -1.0; -2.5156490417498643e-8; 1.0; 3.250918418789573e-8]
119,157,300,0.4000000000000029,[-1.0877652517566332e-7; -3.963211289214217e-9; -1.0; 1.0; -6.639603781047017e-9; -1.0; 1.0]
120,177,300,0.4000000000000008,[-1.016394079963328e-8; -1.0; -1.0; 6.280120008081676e-8; -1.356558742697127e-8; 1.0; 1.0]
121,165,300,0.4000000000000018,[3.7636123907266065e-8; -1.0; -5.399414629359126e-8; 1.0; -1.0; 6.976387984336905e-8; 1.0]
122,159,300,0.40000000000000313,[1.0; -1.0; -1.0; -5.295424801395366e-8; 1.0; 7.758172146019912e-8; 6.338619169272849e-8]
123,178,300,0.400000000000001,[1.0; -1.0; -4.707902996199723e-8; -1.0; 1.0; -1.6509922730173915e-8; 5.24067499760961e-8]
124,170,300,0.40000000000000097,[-1.0; -4.083474236314751e-8; -1.0; 1.0; -4.6447691164501406e-8; 1.0; -2.709482578352352e-8]
125,185,300,0.4000000000000003,[-0.9999999999999991; 3.128360695108814e-8; -1.0; 1.0; 1.2603510055958723e-9; -1.3792028856905468e-8; 1.0]
126,194,300,0.40000000000000013,[1.0; -1.0; -3.186424627084849e-8; 7.139876668506946e-9; 1.0; -3.4466557816446567e-9; -1.0]
127,198,300,0.40000000000000013,[-1.0; -1.0; 0.9999999999999992; 9.139673790335546e-9; 0.9999999999999903; 5.585342217297425e-9; 1.3692172642523145e-8]
128,206,300,0.40000000009778985,[-1.0; 1.0; -1.7177697226048545e-5; 1.0; 4.1336407597155834e-6; -1.0; -6.821546035732378e-6]
129,219,300,0.40000000000000274,[1.0; -0.9999999999999968; 4.9181818754415187e-8; -0.9999999999999943; 3.131050975299985e-8; 5.125265384225628e-8; 0.9999999999999646]
130,196,300,0.4000000000000018,[1.0; 1.0; 3.6153555649457054e-8; -5.913607772365509e-8; -0.9999999999999712; -1.0; -1.1923162379319197e-8]
131,190,300,0.4000000000000112,[1.0; -1.0; 1.8335740392356055e-7; -9.140862580789448e-8; -1.0; 0.9999999999999668; -1.235890121243984e-7]
132,173,300,0.4000000000000015,[1.0; -2.563033597618519e-10; -1.0; -1.0; -7.326241973224092e-8; -2.1017886627370484e-8; 1.0]
133,57,300,0.4000233266143448,[0.007776231593421723; -0.007012119254153126; 1.0; -1.0; -1.0; -0.00464896775813806; 1.0]
134,210,300,0.4000000000000025,[-1.0; -9.80424014880438e-8; -1.0; 1.0; 1.0; 1.6166161338909558e-8; 4.533726008986481e-8]
135,176,300,0.4000000000000005,[4.128681869918833e-8; -9.911374688859757e-9; 1.0; 1.2983137509155394e-8; 1.0; -1.0; -1.0]
136,163,300,0.40000000000004776,[1.0; 0.9999999999991753; -1.0; -1.0; -2.1233648608108047e-7; -2.1260494029796402e-7; -7.19627194951018e-8]
137,174,300,0.40000000000000013,[2.9657698863052726e-8; 1.0; -9.725896702016629e-9; -1.0; -4.861285974588877e-10; 1.0; -1.0]
138,125,300,0.40000000044861006,[-1.0; 5.468131882975307e-6; -4.118016240897178e-5; 1.7243415595226484e-5; 1.0; 1.0; -1.0]
139,203,300,0.4000000000000004,[2.5932283825143728e-8; 1.0; 7.355237954741513e-9; -1.0; -1.0; 1.0; -2.2273922478144474e-8]
140,151,300,0.40000000000040964,[1.0; 2.0110331504783187e-7; 3.91991119059433e-7; -1.0; 1.0; -1.0; -1.2707521090194364e-6]
141,193,300,0.40000000000000013,[-1.5104645039147995e-8; 1.0; -1.0; -1.0; -1.6993277785398103e-8; 1.856001521084506e-8; 1.0]
142,182,300,0.4000000000000007,[4.0928566095142323e-8; 1.0; 1.0; -4.3287733515977076e-8; -1.0; 1.2717366064027705e-8; -1.0]
143,211,300,0.40000000000000413,[1.0; -1.0; 1.0; -3.965542616994393e-8; -1.0; 2.325747621947721e-8; 1.2085763651073928e-7]
144,177,300,0.40000000000000224,[-1.5298809402918186e-8; 1.0; 1.0; 3.97384137737381e-8; 4.339640637483428e-8; -0.9999999999999507; -1.0]
145,206,300,0.40000000000000135,[5.884960700143067e-8; -1.0; 1.0; 4.442332553462863e-10; -1.3688055261021432e-8; -1.0; 0.9999999999999851]
146,184,300,0.40000000000000024,[-1.5098126565189002e-8; 1.0; -2.1535667531788723e-8; 1.0; -1.0; -1.0; -3.2800408460123385e-8]
147,211,300,0.4000000000000019,[-5.660731063161506e-8; 1.0; -0.9999999999999997; 1.0; -5.30262001688382e-8; -2.3982913762180322e-8; -1.0]
148,189,300,0.40000000000000363,[0.999999999999913; -2.1078245611265178e-8; 1.0; -7.015599565212368e-8; -1.0; 1.4698022454710544e-8; -0.9999999999999989]
149,181,300,0.4000000000000173,[1.0; 1.2746132358005323e-7; 2.0480504042253953e-7; 1.0; 1.0206569250798614e-7; -1.0; -1.0]
150,252,300,0.40000000000000446,[-1.0; -1.0; 1.0; -9.879277217864766e-8; 1.0; 1.0134135729870055e-7; 4.39345900879381e-8]
151,191,300,0.40000000000000036,[-0.9999999999999873; 1.0; 2.2409394673014858e-8; -1.3081611189712804e-8; -6.079283438592302e-9; -1.0; 0.9999999999999991]
152,178,300,0.4000000000001486,[-1.0; -5.117918384991362e-7; -4.832150418428411e-7; 1.0; 1.0; -1.0; -1.6266696037121e-8]
153,190,300,0.40000000000000235,[-5.060612358990943e-8; 1.092096368783871e-8; -1.0; 1.0; 1.0; -1.0; 8.800309933681255e-8]
