nPsoRun,n_iter,S,fgbest,optDes
45,4712,300,-32.25729477024803,[-0.04332961918797304 -0.2629927078376567; -0.9790604801762665 0.5938030887522189; -0.6656117757002759 -0.9999810907869259; -0.9729561873308283 1.0; -1.0 -0.9999999999999534; 0.9472943603600902 0.2962909864767153; 0.9999999999933396 0.9999999999999786; 0.9999999999999856 -1.0; 0.390156912441344 0.9939258551315318; 0.6217705261602864 -0.9999999999999201]
46,6497,300,-32.194344522519366,[-0.01435605427184009 -0.02295659941631812; -0.17140625794761608 0.9988087153448476; 0.8501031461847763 -0.7442839187048136; 1.0 0.9999999999999997; 0.9999999999999994 0.5669731650733718; 0.9999999999999967 -0.9999999999999986; -0.5884289672221952 -0.9999999999999991; -0.9999999999998647 0.4361083409772779; -0.9999266415882725 1.0; -0.9999999999999982 -0.9186443585204884]
47,3182,300,-32.27134614801416,[0.9999999999999977 0.9999999999999993; 0.999999999999999 -0.9999999999999984; -0.9993578192693844 0.3062936758511835; 0.08577699008195402 -0.11004256477014776; -0.5786866448598832 -0.9999740425449869; -0.3551014047501545 0.9701702337926353; -0.9999999999999988 -0.9999999999990529; -0.9999999999999999 0.9999999999999981; 0.9987162186911717 -0.6459869156787358; 0.9846405600942729 0.6056504604814021]
48,2616,300,-37.37821660646894,[0.9999999999999999 -0.717217797690977; 0.09151825458389641 -0.6335282892438583; -0.4547706341162256 0.1052013355562411; 0.7698898403851689 0.9999999999999998; 0.9999981449059687 -1.0; -0.715183833187111 0.9999999999999998; -0.7764707341180239 -0.9999999999999998; -0.9975619303231347 0.7767443372505003; -0.9999999999999999 -0.7736674549564793; 0.9999999999999966 0.7344248558456163]
49,5170,300,-32.48066597768018,[0.9999992901508805 -0.3992275420303317; -0.9999999998864971 -1.0; 0.5903150870555964 0.9911267462041089; -0.982098307492154 -0.6122601627341064; 0.24806317636440017 -0.9689546468748543; 0.9999999999567605 0.9999664094908258; -0.999999999998219 0.9999999999933974; -0.18523250523928067 0.0843570349469194; 0.9999999999980996 -0.9999999999997151; -0.9975417867825958 0.6674350566061282]
50,2422,300,-32.05700017590199,[-1.0 -0.9999999993763534; -0.9975684888357828 0.6041659181250402; -0.6775693859910901 -0.9996813085260016; 0.9999999980545927 -0.9999950365394704; 0.9999999999707042 0.99999995224272; 0.46457797436024545 0.9999998337552753; 0.5325644154004505 -0.9820427766850778; -0.26782852304215815 -0.051064669309351586; -0.9999999994768262 0.9999999988655981; 0.9999999999665158 0.04782060735414696]
51,1953,300,-30.67296374570108,[-0.9953170622127756 0.5919965582793031; 0.47482162049004245 -0.9925637029390616; 0.9999999999398319 0.9997522774648417; -0.9999994771541854 -1.0; -0.99999987424656 -0.9999999992383813; 0.9999999999966651 -0.9999998481811835; 0.43705088408754217 0.9999999999921841; -0.9999999999999176 0.9999999999890936; 0.9997089463146467 -0.012697118541042243; -0.338649903459038 -0.07707710684273311]
52,1310,300,-32.50443826861812,[-0.018004315549000904 0.2548226376495868; 0.6038154657666264 0.9999999703613023; -0.9999649483968462 -0.9999999990416722; 0.9999345535308408 -0.3446530688163808; 0.27472758248144635 -0.9998489858247226; -0.9999743410705114 -0.5580126327762347; -0.9999999592237913 0.9999974579392923; 0.99999991428023 -0.9999999587083813; 1.0 0.9999999472342591; -0.6818160457506509 0.9458500753252475]
53,2675,300,-32.55193376161706,[0.6793166011167687 0.9667521022593876; -0.588282913995612 0.9979596552831502; 0.9999999999966689 1.0; -0.999999987477241 -0.2974607236969039; 0.9999999999998559 -0.9999999999999909; 0.07054310106108705 0.13239162765867893; -0.33005761978076664 -0.9999999999999949; -0.9999999999997504 0.999999987441289; 0.9605272721347368 -0.6068385486499737; -0.9999999999992507 -0.9999999884098243]
54,3858,300,-32.32701387250123,[-0.5732915757550701 0.9999998317382441; -0.9999999999999909 -0.3535135687266646; -0.30582214547668907 -0.965739959094221; 0.9999999999999998 0.9999999999999982; 0.23811365206721652 0.05601394816380688; -0.9999999999999997 -0.9999999999999994; 0.9999999982047991 0.6555367962110447; -0.9999999999999993 0.9999999577276214; 0.9999999999999993 -0.9999999999999998; 0.994095456745698 -0.6129940122670844]
