nPsoRun,n_iter,S,fgbest,optDes
58,933,300,0.5127073637108892,[0.08410052929948789 1.0; -0.0021933853822935327 0.010894783505268785; -0.011546976324142677 -0.003952212105836389; -1.0 0.08621198515358533; -0.9999999357613432 -0.9999999148318618; 1.0 -0.9999995371693436; 0.9999999680576859 0.9999998903055749; -0.9999999576547683 1.0; -0.08659002314547318 -1.0; 0.9999998335983149 -0.08454463622823886]
59,1307,300,0.5125751450455526,[0.9999999999999923 0.9999999999990604; -0.06410030396325368 -0.999999999999732; -0.9999999999976473 0.9999999999993282; 0.999999999999935 -0.0632226094135367; 0.06222910292898851 1.0; -0.9999999999998348 0.06312414457966574; -0.005749603533214004 -0.014978925258172673; 0.9999999999995407 -0.999999999999996; -0.003648165908203221 0.013610031771900276; -1.0 -0.9999999999996748]
60,1548,300,0.5124453682120775,[0.9999999999986494 1.0; 0.9999999999998794 0.011780337085227814; -0.0030731459697616982 0.0009151299210331164; -0.012671081776066346 0.999999999999303; -1.0 1.0; 0.009123770672273351 -0.9999999999995883; -0.9999999999999398 -0.9999999999998932; 1.0 -0.9999999999998338; -0.014514331881199426 0.008316527840387236; -0.9999999999999992 -0.009990506898246475]
61,662,300,0.5129233204889404,[0.10674627656914024 -0.9999991091560977; -0.9999936281012956 0.9999538886690692; 0.030454595784583618 0.020365374796663168; 0.9999653459577039 -0.999991078362597; -0.01704244618482104 -0.00983173521600131; 0.999999725107353 0.10669544741470854; 0.9999704479628203 0.9999978281660623; -0.9999924691075014 -0.9999851272599927; -0.9999977433123892 -0.10431356934919721; -0.10451967519165571 0.9999995012320434]
62,928,300,0.5124563433480991,[0.9999999210228592 0.024067742093637993; -0.9999999998279759 -0.02205488846975578; 0.017968075910780888 0.007987790244864193; -0.022158792664264775 1.0; 0.02397395537104494 -0.9999999999953234; -0.9999999999999942 -1.0; -0.9999999727107556 0.9999999782009161; 0.999999760497058 -0.999999761237729; 0.9999943145803677 0.9999926010437079; -0.008525553947438917 0.001790708173509629]
63,1507,300,0.5124387001640277,[0.9999999999999715 0.9999999999996443; 0.00702059654762193 0.9999999999993805; -0.008921894384780225 0.004145701218476269; -1.0 -1.0; 0.9999999999998243 -0.9999999999996498; -0.9999999999951495 0.009235530453437222; -0.00813031777871456 -0.9999999999997778; 0.9999999999999661 -0.005955922308302874; 0.003196397463376848 0.012181211986492423; -0.9999999999957566 0.9999999999942152]
64,1682,300,0.5155086735688792,[-0.0015864671208575397 -0.00834886881530785; 0.9999999992397067 0.22396030873782544; -0.9999999967309712 -0.22481230469713118; 0.999999988160108 -0.9999999908455607; -0.9999999988271837 0.9999999992775868; -0.2239788172878876 0.9999999991566482; 0.2248055471682152 -0.9999999985366935; 0.9999999984756955 0.9999999987638167; 0.004812220850335559 0.0021459749605121222; -0.9999999686342476 -0.9999999989108833]
65,1273,300,0.512673992780688,[0.9999999222994898 -0.9999983373527568; 0.9999998922324869 0.07970877264860872; -0.0798867701479719 0.9999998110933699; -0.9999999883490289 -0.08064484590231857; -0.9999965545657591 -0.9999997032210642; 0.009816846389962892 0.013193874394985788; 0.9999992993373084 0.999999683850055; -0.00698519393387669 -0.018344967771076342; 0.08055555830064105 -1.0; -0.9999979164833549 1.0]
66,1574,300,0.5160099675477143,[0.002583415688487389 -0.0028429104534686126; 1.0 -0.23468328415790496; 0.9999989188131053 0.9999816322126464; -0.23491989201966545 -0.9999988884157142; 0.002799691139997644 0.017435712731252467; -0.9999997220071174 0.2367395333722748; 0.9999922958148066 -0.9999997320589182; 0.23650309612937565 0.9999999912995021; -0.9999955419540514 0.9999962774801888; -0.9999993169771731 -0.9999929620977281]
67,774,300,0.5124749873593872,[0.0062462903123954305 -0.009434846169833849; 0.03730808095406822 1.0; -0.9999975410877081 -0.9999999873151993; 0.9999999999739153 -0.03841197628185297; -1.0 0.03678615657390119; -0.03792544167045591 -0.9999999916923472; 0.9999999937005736 -0.9999999999997706; 0.999999575259161 0.9999994432249099; -0.9999997402576616 0.999999998584648; -0.008892044853154452 0.0011106340912736487]
