nPsoRun,n_iter,S,fgbest,optDes
122,456,300,0.9452565346311941,[-0.010214429371695822; -0.6213313332392703; 0.6189497486203678; -0.9999998347318367; 0.9999998911717705]
123,510,300,0.9452040219177597,[0.620222232657477; 1.0; -1.0; 0.0008395559583365839; -0.6200268378440909]
124,316,300,0.9452580117032785,[0.6190103959423097; 1.0; -0.6212588932144829; -0.00967566358369397; -0.9999945785097654]
125,583,300,0.9452659787066108,[0.6188147644194526; -0.999998164562504; -0.6214707937709282; -0.011415249521332466; 0.999999921528675]
126,438,300,0.9452350563958043,[0.0082038279069328; 0.6210887409914362; -0.6191794364038038; -0.999999999975533; 0.9999999590208073]
127,186,300,0.9452129888836528,[0.0037341302238198685; -0.6196903758535438; 1.0; -1.0; 0.6205594389892414]
128,325,300,0.9452247063748219,[0.9999998262059652; -0.9999924442234744; -0.0039555764563242; 0.6196692345715278; -0.6205818478678949]
129,469,300,0.9452536084063281,[-0.0103549638869253; -0.9999999999865378; 0.6189348577231828; 0.9999999858483208; -0.6213447837184413]
130,374,300,0.9452061662022306,[0.6198569029106478; -0.0023055740045566974; 1.0; -0.6203934922670921; -1.0]
131,363,300,0.9452040131304927,[-0.9999999079149688; 0.6200368964153703; -0.6202121117005995; 0.9999999994614462; -0.0007529313255347464]
132,403,300,0.9452209499050261,[-0.6208326719457575; -0.00604070107175839; 0.6194268482896442; 1.0; -1.0]
133,323,300,0.9452036946411219,[-1.0; 0.6201281987589073; 3.235103824646388e-5; 1.0; -0.6201206695097854]
134,675,300,0.9452104668974729,[0.6196824471226302; 1.0; -0.6205706048758325; -1.0; -0.003816171818348766]
135,487,300,0.9452037413630833,[-0.00031599414452029465; 0.9999999987819328; -0.6201612199067547; 0.6200876764253767; -0.9999999999133401]
136,408,300,0.9452037030439002,[0.9999999998870673; 0.6201085393464788; -0.00013661209588132972; -0.6201403338692943; -1.0]
137,236,300,0.9452384678969112,[-0.6211270210213884; 0.619142565037832; -0.008524272517359491; 0.9999998097920677; -1.0]
138,302,300,0.9452543264332918,[0.010245857268872883; -1.0; 0.9999989928930829; -0.6189472966870988; 0.621332202459382]
139,376,300,0.9452042751940066,[-0.6199950833431341; 0.0011130935845234567; 1.0; -0.9999999999866053; 0.6202541434870834]
140,346,300,0.9452399734630382,[0.6191355371136156; 1.0; -0.00858510737324068; -0.9999999996682699; -0.6211356903763849]
141,469,300,0.9457481386932914,[-0.6163263577404746; 0.6242585299701007; 0.03408288433983501; -0.9999999987040812; 1.0]
142,220,300,0.9452169006265598,[-0.004248725318610128; -0.6206206012796366; -0.9999998282773592; 0.999995964977752; 0.6196328581525116]
143,384,300,0.9452248291552395,[-0.9999998733765967; 0.6209133435443431; 0.006723807812960372; -0.6193484567725768; 0.999999978010215]
144,230,300,0.945216845449599,[-0.005241387588455935; 0.6195185550860189; -1.0; 1.0; -0.6207381705073606]
145,201,300,0.9454566521572848,[-0.6180977716532414; 0.6221174944541411; 1.0; 0.017285468172347676; -1.0]
146,163,300,0.9452059319088191,[0.0009939368663535182; 1.0; 0.6202394647206272; -1.0; -0.6200088249596709]
147,915,300,0.9452072818724436,[-0.620448756826336; -0.0027775265488653193; -1.0; 1.0; 0.6198023275768406]
148,43,300,0.9489966356314319,[1.0; -0.02135691164927942; 0.6202102293279835; -0.6222696375919935; -1.0]
149,324,300,0.9452037165382309,[0.6201105462612697; -0.00011937923701760462; -0.620138328161215; 1.0; -0.9999999882392029]
150,130,300,0.9454589990760256,[-0.617799903604569; -1.0; 0.6224946104605681; 0.020172148947857536; 1.0]
151,236,300,0.9452116995653381,[0.9999991149565601; -0.003476303897895497; 0.619720927158512; -0.6205320603926668; -1.0]
152,213,300,0.9452508498654029,[-0.9999994774709682; 1.0; -0.6190231976721582; 0.6212543701856631; 0.009601136813501549]
153,215,300,0.9452042605908507,[0.6200514942930975; -1.0; 1.0; -0.0006297965404596061; -0.6201977133901185]
154,396,300,0.9452178478651888,[0.0054859313874443955; -0.6194903396867276; 0.6207672135119907; 0.9999999722700803; -0.9999999365800829]
155,545,300,0.9452866534809075,[-0.6216913420051364; 0.6186087343408644; -1.0; -0.013239125384611139; 1.0]
156,404,300,0.9452668076977733,[-0.618788496819263; 0.011648100543588424; -1.0; 0.6214993553790141; 1.0]
157,469,300,0.9453189830605163,[-0.9999666313717678; -0.6187545193777426; 1.0; 0.011729721027275677; 0.6214957181375548]
158,307,300,0.9452078198907441,[-1.0; 1.0; 0.6197791985940108; -0.6204722174483956; -0.002977701294170024]
159,106,300,0.9462563385397781,[0.6243226536858216; -1.0; 1.0; 0.030528790941380172; -0.6165511240134074]
160,361,300,0.9452079359613426,[-0.620477186924671; -0.003020103510251551; 1.0; 0.6197743015458139; -1.0]
161,462,300,0.9452055165179669,[0.0019795591399116496; 0.9999999999912546; 0.6203553539975108; -0.6198946398110151; -1.0]
162,190,300,0.9452871629411257,[1.0; 0.6195348175738198; -0.620746151937883; -1.0; -0.004919524204503796]
163,296,300,0.9452774011524795,[-0.6193551514460873; 0.00664474917471666; -0.9999999999912493; 0.6209178246270401; 0.9999663368195174]
164,119,300,0.9452513566390415,[0.62123974845401; -0.6190288696671817; 0.009499649667218817; 1.0; -1.0]
165,115,300,0.9453363270471329,[-0.6182374433900105; 0.6220932154188245; -1.0; 1.0; 0.01654933500828994]
166,530,300,0.9452082777401916,[-0.0031394279526855843; -1.0; 1.0; -0.6204911779439425; 0.6197605216716511]
167,204,300,0.9454976618112924,[-0.6231368890192774; -1.0; -0.025109298702409993; 0.6172935016629013; 0.9999999999624999]
168,217,300,0.9453519695463618,[0.6182306301764445; -0.016538262720173474; -0.6220885603248995; 0.9999826922162941; -0.9999993407529844]
169,520,300,0.9452261512381068,[-0.9999999264765327; 0.6193343153287342; 0.9999989755231224; -0.006845450921592718; -0.620927699695239]
170,65,300,0.9476581846233099,[0.6161396160758762; -0.6246455937267148; -1.0; -0.02956704117504569; 0.9997990218438857]
171,490,300,0.9452530308786166,[0.6213381217236055; -0.6189412231774664; 1.0; -1.0; 0.010299006598157717]
172,812,300,0.9452082404969651,[-1.0; -0.00312661756502011; 1.0; 0.6197620009236425; -0.6204896756830692]
173,522,300,0.9452107173738286,[1.0; -0.003886088215250337; -0.6205788181868173; 0.6196743885455813; -1.0]
174,76,300,0.9454802637941954,[-0.004997371689210373; 0.6196455211876445; -0.62076701874489; -1.0; 1.0]
175,456,300,0.9452087150800442,[-1.0; -0.619743625937746; 0.0032857819509444705; 1.0; 0.6205083438444893]
176,733,300,0.9452058647873907,[-0.0021604438298072647; -0.9999999999973351; 0.619873698249075; -0.6203765106976867; 0.9999999999994729]
177,639,300,0.945203744242948,[0.6200862479706343; -0.0003282820168559476; 1.0; -1.0; -0.6201626509910334]
178,281,300,0.945203862577223,[1.0; -1.0; 0.620191958934025; 0.0005798869696169072; -0.6200570087533117]
179,271,300,0.9452079848381507,[0.6203425363654437; 0.9999955524065324; 0.001878557688526026; -1.0; -0.6199062646743604]
180,300,300,0.9452409424217593,[0.6191272558906391; -0.621142101303753; 0.999999971202976; -0.9999959336966654; -0.008661377786653966]
181,167,300,0.9452122652805437,[-1.0; -0.6202882281157358; 0.6199531467373516; 1.0; -0.0014392145022184392]
182,555,300,0.9452417956645732,[0.9999999997876672; -0.6211894081588977; 0.619082996599592; -1.0; -0.009050798914325005]
183,211,300,0.9452155322555444,[0.005039960417853408; -1.0; 0.6207145609278295; 1.0; -0.6195416026530077]
184,672,300,0.9452041927674252,[-0.6200040906180405; 0.0010354862605365994; 0.6202450854295325; -1.0; 0.999999999999778]
185,821,300,0.945251699132941,[0.9999996538695527; -0.9999999999990739; 0.6213143928770205; 0.010102121052099507; -0.6189633731388197]
186,512,300,0.9452198241662559,[0.619447734330187; 0.9999999999999705; -0.9999999962683007; -0.6208109130179346; -0.005857530747306058]
187,176,300,0.9454540577049655,[0.014809573985825534; 0.6219452238653185; 1.0; -1.0; -0.6184543575826754]
188,463,300,0.9452139781277782,[1.0; -0.6195804000303801; 0.6206748210602581; -1.0; 0.004702435946677682]
189,414,300,0.9452046211387138,[0.620287432827316; -0.6199619887716727; 0.0013983103545470129; -0.9999999743809452; 1.0]
190,309,300,0.9452135952989463,[1.0; -0.0046123378288004955; 0.6195907599475504; -1.0; -0.6206642120552112]
191,610,300,0.945205746949457,[0.619880580107675; -0.002100992221951042; -0.6203695560686153; 1.0; -1.0]
192,553,300,0.945235433611859,[0.6191729738181428; -0.6210954996035906; -0.008260654701134814; -1.0; 0.9999999974756687]
193,372,300,0.9452183085855039,[-1.0; -0.005603717487575534; -0.6207810368187964; 1.0; 0.6194768519869635]
194,48,300,0.946648835777807,[-0.0241142548527829; 0.6171779608805865; -0.6224690471434073; -1.0; 1.0]
195,533,300,0.9452037633346503,[-0.0003857665961836568; -0.6201693462497525; -1.0; 1.0; 0.6200795645061755]
196,292,300,0.945335399768362,[0.6219648243604396; 0.9999997674316571; -0.6183344306338698; 0.015598287820676482; -0.9999992507849604]
197,367,300,0.9452037640386315,[-0.6201695176652872; 1.0; -0.00038723855550813286; -1.0; 0.6200793935208477]
198,767,300,0.9452037169463777,[-0.6201502194026401; 1.0; 0.6200986626959453; -0.00022152448122675676; -1.0]
199,336,300,0.9452238729128464,[-1.0; 0.6208958726103633; 1.0; 0.006576102039760099; -0.6193654591429774]
200,135,300,0.9452187517731921,[0.005445711807032084; 1.0; -0.9999999675378635; 0.620762057051809; -0.6194943791906085]
201,109,300,0.9460526628147652,[-0.6162009790129664; -1.0; 0.6245625328871276; 0.03689232142603059; 0.9999957891356813]
202,96,300,0.9452685165983914,[-1.0; 1.0; -0.009752960004159844; -0.6212692846798098; 0.6189936195804479]
203,495,300,0.9452492479311677,[0.621286150204976; -1.0; -0.6189908473139076; 0.9999999960870661; 0.009862640476831358]
204,241,300,0.9452486083997305,[0.009642679808176262; -1.0; -0.6190153511666311; 0.6212612191032906; 1.0]
205,92,300,0.945676385878853,[0.030010153793379554; 0.6237277246465123; -1.0; -0.6167820488433035; 1.0]
206,138,300,0.9453127743921915,[-0.9999796231012883; 0.9999994567016294; -0.013787442727243429; 0.6185430827546631; -0.6217500082735519]
207,160,300,0.9452448527490915,[-1.0; -0.6204211162309147; 1.0; 0.6198521483249473; -0.00261407864188006]
208,392,300,0.9452132228920207,[1.0; -0.6196006892378765; 0.6206540623373459; -0.999999999859744; 0.004526062309637469]
209,111,300,0.9452306534663496,[0.62085414641117; 1.0; -0.6194110765415402; 0.006157549537288175; -1.0]
210,380,300,0.945231332070043,[1.0; 0.621029996993004; -0.6192359443330939; 0.0077086216191567065; -1.0]
211,53,300,0.9467142604859272,[1.0; -0.6225122728494212; -0.024221034155349763; -1.0; 0.6174136687226305]
212,487,300,0.9452063168278392,[-0.0023743843077937148; 0.6198489416592491; 0.9999999994764579; -1.0; -0.6204015462355003]
213,535,300,0.9452839840645373,[1.0; -0.6186204903992417; 0.6216779732226215; 0.013137581988408401; -1.0]
214,142,300,0.9452190672093417,[-0.003978969830976203; 1.0; -0.6205878028456073; -1.0; 0.6196702760583153]
215,98,300,0.9459678227744116,[-0.6182224633403695; 0.016506521511795522; -1.0; 0.9999933202173629; 0.6218110277741109]
216,597,300,0.9452040428050534,[0.6202253037191467; 1.0; 0.0008658914810300121; -1.0; -0.6200237796859437]
217,399,300,0.9452052243696749,[-1.0; -0.6203359868600102; -0.0018139039088982585; 0.6199138264792737; 1.0]
218,264,300,0.9452038354595942,[0.6201886033129042; -1.0; 1.0; -0.6200603519968672; 0.0005510594518589096]
219,527,300,0.9452263228476654,[0.6193849775887893; -0.6208736480722606; -0.9999999972176422; 0.9999970651338256; -0.006391010560505173]
220,514,300,0.9452282591849657,[0.9999999999979902; 0.007267348140824131; -0.619286342866749; -0.9999999984631278; 0.6209776991296673]
221,341,300,0.9452088131228688,[-0.6205120384761649; 0.6197399896372395; -0.0033172811699040527; 1.0; -1.0]
222,448,300,0.9452276931608516,[-0.6192959439332132; -1.0; 0.620967749526849; 1.0; 0.0071833460891530644]
223,178,300,0.9453913928781835,[-0.018638919804647054; -0.6223487099438474; 0.6180124546597777; 0.999995100312105; -1.0]
224,625,300,0.9452300532625008,[-0.007528254069616008; 0.6192565379070719; 1.0; -1.0; -0.6210086134821715]
225,544,300,0.9452489692395372,[0.009864761590804957; -0.6189904926964415; 0.6212863291642771; -1.0; 1.0]
226,614,300,0.9452149689271075,[-0.6195549532873509; -1.0; 0.9999999999957095; 0.620700879873078; 0.004923743692683397]
227,522,300,0.9452413515085184,[-0.9999999057415262; -0.6190898638938566; 0.00899018535700987; 0.6211821928454999; 0.999999998501704]
228,604,300,0.9452039819705482,[0.6200330458059716; -0.9999999991850946; 1.0; -0.6202159995198206; -0.000786100891255233]
229,352,300,0.9452143431678276,[-1.0; 1.0; -0.004780627673460772; 0.6195714239949112; -0.6206840220514142]
230,345,300,0.945216148580761,[0.620730468504213; 0.005174884070418186; -0.6195260933918187; -1.0; 1.0]
231,218,300,0.9452449720995755,[-0.999999996772264; -0.008682808205501229; 0.6191215090406014; 1.0; -0.6211423175734176]
