nPsoRun,n_iter,S,fgbest,optDes
63,2347,300,-10.16584476801091,[-0.9999999999989221 0.23903224181178856; -1.0 0.9999999999999996; 0.9621418036814346 1.0; 0.28139927734585485 0.47357452129990535; 0.41494561133844665 -0.9999999999973578; -0.9999999999999974 -0.9999999999999927; 0.9999999999999948 -0.09533976545981383]
64,5733,300,-10.104578437255896,[0.999999999998162 -0.44668429327477827; -0.9999999999972364 0.9999999999956896; -0.9999999999153603 -0.9625197334702429; -0.47002241835891 -0.3437661600136688; 0.9999999999805702 0.9999999999903572; -0.22983576644245587 0.9999999349754928; 0.15272443029520438 -0.9999999999980004]
65,1380,300,-10.148156490001437,[0.9999999999985343 -0.9999999999999871; -0.4489878493688614 0.3040011918311181; -0.21653707783241805 -0.999999999999887; -0.9999999999999769 -0.9999999999996956; -0.9999999999995519 0.9411321043714574; 0.0927404314117922 0.9999999999999992; 0.9999999999983046 0.4459362597209029]
66,1727,300,-10.203043262602662,[0.9999999999987975 -0.9999999999992731; 0.28186341582547497 0.9999999999999721; 0.5231436386280284 -0.2506173170680831; -0.9999999999998992 -0.36118706902040276; 0.9999999999999984 0.9994656068638399; -0.11160094699037719 -0.9999999999986955; -0.9999999994894397 0.9999999999999878]
67,2171,300,-10.201376374394428,[-0.999999999999999 0.365548160116284; -0.1147055995806795 0.9999999999999991; 0.5204883463326403 0.25681881761884656; 0.279420832869284 -0.9999999999999996; -0.9999999999999947 -0.9999999999999993; 0.999999999999999 -0.9999999999999996; 0.999999999999999 0.9992667047445866]
68,5167,300,-10.075162137612528,[-0.4041674320135406 0.34846268791375906; -1.0 -0.9999999999999952; -0.16716518997799162 -0.9999991836071702; 0.9999999999999969 -0.9999999999999942; 0.9999456195917996 0.519684718988681; 0.09172991411146393 1.0; -0.9999999999999997 0.8877211745015505]
69,1669,300,-10.190290749942886,[0.9999999731326195 -0.2873396780976138; -0.24263009244978326 -0.5332431721073448; -0.9999996416430088 0.11099677287029168; 0.9975607829495058 -0.9999999946348015; -0.3534299223721218 0.9999999339099426; 0.9999999655342907 0.9952171222308424; -1.0 -0.9999999813905831]
70,2379,300,-10.139771128345897,[-0.4078228212713688 0.9999999999999712; 0.9999999999999937 -0.9999999999999981; -0.9999999999999997 0.17742796240001216; 1.0 0.9999999999999889; 0.9997821893269392 -0.2632690021129301; -0.33212706823827975 -0.5029924903727746; -0.9996637554603219 -0.9999999999999939]
71,3067,300,-10.205087568950011,[-0.9999999992512654 0.9996791547741675; 0.10714260871322241 -0.9999999682510448; 0.9999999779082479 0.9999983988675959; -0.5238983660888684 -0.24514368061207462; -0.2827406498603447 0.9999999997942912; 0.9999999996438101 -0.3585793988613644; -0.9999999999978849 -0.999999999463689]
72,2086,300,-10.16872854651039,[-1.0 -1.0; -0.999999999999999 0.9828132754201209; 0.9999999999999998 0.39982880411392696; -0.2569927031878067 -0.9999999999999992; 0.1254936841969638 0.9999999999999982; 1.0 -0.9999999999999962; -0.4962578940701234 0.29141360003718886]
